2026-05-06 17:29 UTC,100980.70,86399.79,14.4,AMZN:9@260.52>276.445(+6.1%); GOOGL:20@351.4945>397.935(+13.2%); MSFT:10@425.73>413.41(-2.9%),948.93,980.70,0.98,3
2026-05-06 20:32 UTC,100976.14,86399.79,14.4,AMZN:9@260.52>275.05(+5.6%); GOOGL:20@351.4945>398.25(+13.3%); MSFT:10@425.73>413.59(-2.9%),944.48,976.14,0.98,3
2026-05-07 17:31 UTC,100961.45,86399.79,14.4,AMZN:9@260.52>271.2571(+4.1%); GOOGL:20@351.4945>395.56(+12.5%); MSFT:10@425.73>420.915(-1.1%),929.79,961.45,0.96,3
2026-05-07 20:29 UTC,101018.30,86399.79,14.5,AMZN:9@260.52>271.6451(+4.3%); GOOGL:20@351.4945>397.81(+13.2%); MSFT:10@425.73>421.75(-0.9%),986.64,1018.30,1.02,3
2026-05-08 17:27 UTC,100974.62,86399.79,14.4,AMZN:9@260.52>272.23(+4.5%); GOOGL:20@351.4945>397.66(+13.1%); MSFT:10@425.73>417.1556(-2.0%),942.96,974.62,0.97,3
2026-05-10 20:16 UTC,101021.11,86399.79,14.5,AMZN:9@260.52>272.68(+4.7%); GOOGL:20@351.4945>400.8(+14.0%); MSFT:10@425.73>415.12(-2.5%),989.45,1021.11,1.02,3
2026-05-11 17:36 UTC,100811.33,86399.79,14.3,AMZN:9@260.52>270.925(+4.0%); GOOGL:20@351.4945>393.65(+12.0%); MSFT:10@425.73>410.08(-3.7%),780.25,811.33,0.81,3
2026-05-11 20:35 UTC,100725.19,86399.79,14.2,AMZN:9@260.52>268.9(+3.2%); GOOGL:20@351.4945>389.2152(+10.7%); MSFT:10@425.73>412.1(-3.2%),693.53,725.19,0.73,3
2026-05-12 17:37 UTC,100553.42,86399.79,14.1,AMZN:9@260.52>263.77(+1.2%); GOOGL:20@351.4945>384.44(+9.4%); MSFT:10@425.73>409.09(-3.9%),521.76,553.42,0.55,3
2026-05-12 20:34 UTC,100588.09,86399.79,14.1,AMZN:9@260.52>266.7557(+2.4%); GOOGL:20@351.4945>385.5(+9.7%); MSFT:10@425.73>407.75(-4.2%),556.43,588.09,0.59,2
2026-05-13 14:21 UTC,100706.55,86399.79,14.2,AMZN:9@260.52>265.49(+1.9%); GOOGL:20@351.4945>394.06(+12.1%); MSFT:10@425.73>403.485(-5.2%),673.59,706.55,0.71,2
2026-05-13 17:38 UTC,100896.31,86399.79,14.4,AMZN:9@260.52>269.48(+3.4%); GOOGL:20@351.4945>401.64(+14.3%); MSFT:10@425.73>403.84(-5.1%),864.65,896.31,0.90,2
2026-05-13 20:35 UTC,100923.10,86399.79,14.4,AMZN:9@260.52>270.0283(+3.6%); GOOGL:20@351.4945>402.4501(+14.5%); MSFT:10@425.73>404.405(-5.0%),891.44,923.10,0.92,3
